computer	1 0 36 0 30 0 47 0 6 0 53 0 63 0 4 0 29 0 6 0 58 0 34 0 2
windows	1 0 64 0 4 0 24 0 49 0 6 0 38 0 75 0 61 0 2
keyboard	1 0 36 0 4 0 25 0 6 0 35 0 4 0 27 0 54 0 38 0 2
cardiff	1 0 36 0 4 0 26 0 54 0 6 0 38 0 24 0 41 0 2
the	1 0 4 0 59 0 23 0 2
nation	1 0 49 0 4 0 66 0 6 0 57 0 30 0 49 0 2
zebra	1 0 61 0 4 0 25 0 6 0 35 0 54 0 30 0 2
action	1 0 4 0 20 0 36 0 6 0 58 0 63 0 26 0 49 0 2
quickly	1 0 36 0 64 0 4 0 24 0 36 0 6 0 45 0 25 0 2
splunktar	1 0 56 0 53 0 45 0 4 0 30 0 49 0 36 0 58 0 21 0 54 0 2
brightnex	1 0 35 0 54 0 4 0 65 0 58 0 49 0 22 0 36 0 56 0 2
ci bach	1 0 4 0 36 0 25 0 3 0 4 0 35 0 21 0 37 0 2
mynydd	1 0 4 0 47 0 30 0 6 0 49 0 32 0 39 0 2
gŵn	1 0 4 0 42 0 29 0 49 0 2
cymru	1 0 4 0 36 0 30 0 47 0 6 0 54 0 32 0 2
Mae'r BBC yn dda	1 0 4 0 47 0 70 0 54 0 3 0 35 0 4 0 25 0 6 0 35 0 25 0 6 0 56 0 4 0 25 0 3 0 30 0 49 0 3 0 4 0 39 0 21 0 2
Roedd computer newydd yma	1 0 54 0 72 0 39 0 3 0 36 0 30 0 47 0 6 0 53 0 63 0 4 0 29 0 6 0 58 0 34 0 3 0 4 0 49 0 22 0 6 0 64 0 32 0 39 0 3 0 4 0 30 0 6 0 47 0 20 0 2
Mae 25 o gathod	1 0 47 0 70 0 3 0 4 0 38 0 69 0 3 0 4 0 39 0 23 0 42 0 3 0 4 0 53 0 32 0 47 0 53 0 3 0 26 0 3 0 4 0 42 0 21 0 6 0 59 0 26 0 38 0 2
the quick brown fox	1 0 4 0 59 0 23 0 3 0 36 0 64 0 4 0 24 0 36 0 3 0 4 0 35 0 54 0 75 0 49 0 3 0 41 0 4 0 26 0 36 0 56 0 2
S4C a'r BBC	1 0 4 0 22 0 56 0 3 0 4 0 53 0 22 0 38 0 6 0 64 0 20 0 54 0 3 0 4 0 22 0 36 0 3 0 4 0 20 0 54 0 3 0 35 0 4 0 25 0 6 0 35 0 25 0 6 0 56 0 4 0 25 0 2
yn 2026	1 0 30 0 49 0 3 0 4 0 38 0 73 0 3 0 4 0 40 0 25 0 45 0 3 0 4 0 38 0 69 0 3 0 4 0 39 0 23 0 42 0 3 0 37 0 64 0 22 0 37 0 2
B.	1 0 4 0 35 0 25 0 7 0 2
K.	1 0 4 0 36 0 23 0 7 0 2
Ch.	1 0 4 0 22 0 37 0 7 0 2
Ll.	1 0 4 0 22 0 46 0 7 0 2
Rh.	1 0 4 0 55 0 25 0 7 0 2
Ff.	1 0 4 0 22 0 41 0 7 0 2
Ng.	1 0 4 0 22 0 51 0 7 0 2
Th.	1 0 4 0 22 0 59 0 7 0 2
V.	1 0 4 0 40 0 25 0 7 0 2
Z.	1 0 4 0 61 0 22 0 38 0 7 0 2
Dewisodd opsiwn B.	1 0 38 0 22 0 6 0 4 0 64 0 25 0 6 0 56 0 26 0 39 0 3 0 4 0 26 0 53 0 6 0 56 0 74 0 49 0 3 0 4 0 35 0 25 0 7 0 2
Press the letter B now please.	1 0 53 0 54 0 4 0 22 0 56 0 3 0 4 0 59 0 23 0 3 0 45 0 4 0 22 0 6 0 58 0 34 0 3 0 4 0 35 0 25 0 3 0 4 0 49 0 75 0 3 0 53 0 45 0 4 0 25 0 61 0 7 0 2
The letter B is next.	1 0 4 0 59 0 23 0 3 0 45 0 4 0 22 0 6 0 58 0 34 0 3 0 4 0 35 0 25 0 3 0 4 0 25 0 56 0 3 0 49 0 4 0 22 0 36 0 56 0 58 0 7 0 2
BBC.	1 0 35 0 4 0 25 0 6 0 35 0 25 0 6 0 56 0 4 0 25 0 7 0 2
OK.	1 0 4 0 75 0 6 0 36 0 4 0 66 0 7 0 2
S4C a'r BBC.	1 0 4 0 22 0 56 0 3 0 4 0 53 0 22 0 38 0 6 0 64 0 20 0 54 0 3 0 4 0 22 0 36 0 3 0 4 0 20 0 54 0 3 0 35 0 4 0 25 0 6 0 35 0 25 0 6 0 56 0 4 0 25 0 7 0 2
