da	1 0 4 0 38 0 21 0 2
tad	1 0 4 0 58 0 21 0 38 0 2
ci	1 0 4 0 36 0 25 0 2
cul	1 0 4 0 36 0 32 0 45 0 2
sych	1 0 4 0 56 0 33 0 37 0 2
llais	1 0 4 0 46 0 65 0 56 0 2
cae	1 0 4 0 36 0 70 0 2
haul	1 0 4 0 43 0 69 0 45 0 2
mewn	1 0 47 0 67 0 49 0 2
cnoi	1 0 4 0 36 0 49 0 68 0 2
dwyn	1 0 4 0 38 0 73 0 49 0 2
briw	1 0 4 0 35 0 54 0 74 0 2
trowsus	1 0 4 0 58 0 54 0 75 0 6 0 56 0 32 0 56 0 2
pawb	1 0 4 0 53 0 77 0 35 0 2
bach	1 0 4 0 35 0 21 0 37 0 2
dydd	1 0 4 0 38 0 33 0 39 0 2
rhan	1 0 4 0 55 0 20 0 49 0 2
ynys	1 0 4 0 30 0 6 0 49 0 32 0 56 0 2
mynydd	1 0 4 0 47 0 30 0 6 0 49 0 32 0 39 0 2
calon	1 0 4 0 36 0 20 0 6 0 45 0 26 0 49 0 2
llyfr	1 0 4 0 46 0 30 0 6 0 40 0 32 0 54 0 2
saith	1 0 4 0 56 0 65 0 59 0 2
ateb	1 0 4 0 20 0 6 0 58 0 22 0 35 0 2
mêl	1 0 4 0 47 0 23 0 45 0 2
tôn	1 0 4 0 58 0 27 0 49 0 2
cŵn	1 0 4 0 36 0 29 0 49 0 2
tŷ	1 0 4 0 58 0 33 0 2
iaith	1 0 4 0 63 0 65 0 59 0 2
nghalon	1 0 4 0 52 0 20 0 6 0 45 0 26 0 49 0 2
computer	1 0 36 0 30 0 47 0 6 0 53 0 63 0 4 0 29 0 6 0 58 0 34 0 2
hello	1 0 43 0 30 0 6 0 45 0 4 0 75 0 2
welcome	1 0 64 0 4 0 22 0 45 0 6 0 36 0 30 0 47 0 2
abercrâf	1 0 20 0 6 0 35 0 22 0 54 0 6 0 4 0 36 0 54 0 21 0 40 0 2
aberdeuddwr	1 0 20 0 6 0 35 0 22 0 54 0 6 0 4 0 38 0 71 0 6 0 39 0 28 0 54 0 2
ci bach	1 0 4 0 36 0 25 0 3 0 4 0 35 0 21 0 37 0 2
tŷ ci	1 0 4 0 58 0 33 0 3 0 4 0 36 0 25 0 2
ci da	1 0 4 0 36 0 25 0 3 0 4 0 38 0 21 0 2
ci bach.	1 0 4 0 36 0 25 0 3 0 4 0 35 0 21 0 37 0 7 0 2
ci, bach	1 0 4 0 36 0 25 0 8 0 3 0 4 0 35 0 21 0 37 0 2
tŷ ci?	1 0 4 0 58 0 33 0 3 0 4 0 36 0 25 0 9 0 2
"ci"	1 0 16 0 4 0 36 0 25 0 16 0 2
da — da.	1 0 4 0 38 0 21 0 3 0 19 0 3 0 4 0 38 0 21 0 7 0 2
