Wales	-	1 0 64 0 20 0 6 0 45 0 22 0 56 0 2
Wales	cy	1 0 64 0 20 0 6 0 45 0 22 0 56 0 2
Wales	en	1 0 64 0 4 0 66 0 45 0 61 0 2
banc	-	1 0 4 0 35 0 20 0 51 0 36 0 2
banc	cy	1 0 4 0 35 0 20 0 51 0 36 0 2
banc	en	1 0 35 0 4 0 78 0 51 0 36 0 2
access	-	1 0 4 0 78 0 36 0 56 0 22 0 56 0 2
access	cy	1 0 4 0 20 0 36 0 56 0 56 0 2
access	en	1 0 4 0 78 0 36 0 56 0 22 0 56 0 2
the modern banc access	-	1 0 39 0 30 0 3 0 47 0 4 0 21 0 38 0 34 0 49 0 3 0 35 0 4 0 78 0 51 0 36 0 3 0 4 0 78 0 36 0 56 0 22 0 56 0 2
the modern banc access	cy	1 0 4 0 59 0 23 0 3 0 4 0 47 0 27 0 6 0 38 0 22 0 54 0 49 0 3 0 4 0 35 0 20 0 51 0 36 0 3 0 4 0 20 0 36 0 56 0 56 0 2
the modern banc access	en	1 0 39 0 30 0 3 0 47 0 4 0 21 0 38 0 34 0 49 0 3 0 35 0 4 0 78 0 51 0 36 0 3 0 4 0 78 0 36 0 56 0 22 0 56 0 2
Mae'r BBC yn dda	-	1 0 4 0 47 0 70 0 54 0 3 0 35 0 25 0 35 0 25 0 56 0 4 0 25 0 3 0 30 0 49 0 3 0 4 0 39 0 21 0 2
Mae'r BBC yn dda	cy	1 0 4 0 47 0 70 0 54 0 3 0 35 0 25 0 35 0 25 0 56 0 4 0 25 0 3 0 30 0 49 0 3 0 4 0 39 0 21 0 2
Mae'r BBC yn dda	en	1 0 4 0 47 0 70 0 54 0 3 0 35 0 25 0 35 0 25 0 56 0 4 0 25 0 3 0 30 0 49 0 3 0 4 0 39 0 21 0 2
bore da	-	1 0 4 0 35 0 26 0 6 0 54 0 22 0 3 0 4 0 38 0 21 0 2
bore da	cy	1 0 4 0 35 0 26 0 6 0 54 0 22 0 3 0 4 0 38 0 21 0 2
bore da	en	1 0 35 0 4 0 27 0 84 0 3 0 38 0 4 0 21 0 2
computer newydd	-	1 0 36 0 30 0 47 0 53 0 63 0 4 0 29 0 58 0 34 0 3 0 4 0 49 0 22 0 6 0 64 0 32 0 39 0 2
computer newydd	cy	1 0 36 0 30 0 47 0 53 0 63 0 4 0 29 0 58 0 34 0 3 0 4 0 49 0 22 0 6 0 64 0 32 0 39 0 2
computer newydd	en	1 0 36 0 30 0 47 0 53 0 63 0 4 0 29 0 58 0 34 0 3 0 4 0 49 0 22 0 6 0 64 0 32 0 39 0 2
