cath	4 36 21 59
afal	4 21 6 40 20 45
mynydd	4 47 30 6 49 32 39
ceffyl	4 36 23 6 41 32 45
ysgrifennu	30 56 6 36 54 24 6 4 40 22 6 49 32
gwyn	4 42 73 49
siop	4 57 26 53
chwaraeon	37 64 20 6 4 54 70 6 26 49
gwlad	4 42 28 6 45 20 38
nghalon	4 52 20 6 45 26 49
sgrwtlaniog	56 36 54 28 58 6 4 45 20 49 6 63 26 42
blipnwg	4 35 45 24 53 6 49 28 42
chwimplyn	4 37 64 24 47 6 53 45 32 49
'ail	4 65 45
'di'r	4 38 24 54
'nes	4 49 23 56
'r	4 54
'w	4 29
a'm	4 20 47
ab	4 21 35
abercraf	20 6 4 35 22 54 6 36 54 20 40
aberfan	20 6 4 35 22 54 6 40 20 49
aberlleiniog	20 6 35 22 54 6 4 46 66 49 6 63 26 42
aberteifi	20 6 35 22 54 6 4 58 66 6 40 24
abl	4 20 35 45
ac	4 20 36
access	4 20 6 36 22 56
acha	4 21 6 37 20
achosion	20 6 4 37 26 6 57 26 49
achubodd	20 6 4 37 33 6 35 26 39
achwynwyr	20 6 4 37 73 6 49 73 54
act	4 20 36 58
actol	4 20 36 6 58 26 45
adargraffiad	20 6 38 20 54 6 4 42 54 20 41 6 63 20 38
addasa	20 6 4 39 21 6 56 20
addaswyd	20 6 4 39 21 6 56 73 38
addewidion	20 6 39 67 6 4 24 38 6 63 26 49
addolgar	20 6 4 39 26 45 6 42 20 54
addurn	4 21 6 39 32 54 49
addysg	4 21 6 39 32 56 36
addysgwyr	20 6 4 39 30 56 6 36 73 54
adeiladol	20 6 38 66 6 4 45 21 6 38 26 45
adeiladydd	20 6 38 66 6 4 45 21 6 38 32 39
adennill	20 6 4 38 22 6 49 24 46
adfeilion	20 38 6 4 40 66 45 6 63 26 49
adfyfyriol	20 38 6 40 30 6 4 40 30 54 6 63 26 45
adlamu	20 38 6 4 45 20 6 47 32
adlewyrchir	20 38 6 45 67 6 4 30 54 6 37 24 54
adloniant	20 38 6 4 45 26 49 6 63 20 49 58
