llan	4 22 46 11 4 21 21 11 4 22 49
bt	4 35 25 11 4 58 25
s4c	4 22 56 11 4 53 22 38 6 64 20 54 11 4 22 36
cymru	4 22 36 11 4 33 11 4 22 47 11 4 22 54 11 4 74 74
ng	4 22 51
rhagfyr	4 55 25 11 4 21 21 11 4 22 42 11 4 22 40 11 4 33 11 4 22 54
dd	4 22 39
abc	4 21 21 11 4 35 25 11 4 22 36
b²c	4 35 25 11 4 22 36
b①c	4 35 25 11 4 22 36
b½c	4 35 25 11 4 22 36
bⅧc	4 35 25 11 4 22 36
b٣c	4 35 25 11 4 58 54 25 11 4 22 36
b٣4c	4 35 25 11 4 58 54 25 3 4 38 23 42 3 4 53 22 38 6 64 20 54 11 4 22 36
٣	4 58 54 25
