0023 20E3	gorchudd bysell #
002A 20E3	gorchudd bysell *
0030 20E3	gorchudd bysell 0
0031 20E3	gorchudd bysell 1
0032 20E3	gorchudd bysell 2
0033 20E3	gorchudd bysell 3
0034 20E3	gorchudd bysell 4
0035 20E3	gorchudd bysell 5
0036 20E3	gorchudd bysell 6
0037 20E3	gorchudd bysell 7
0038 20E3	gorchudd bysell 8
0039 20E3	gorchudd bysell 9
00A7	adran
00A9	hawlfraint
00AE	cofrestredig
00BC	chwarter
00BD	hanner
00BE	tri chwarter
2022	bwled
2030	y fil
203C	ebychnod dwbl
2049	marc cwestiwn ag ebychnod
20A7	peseta Sbaen
2116	rhif
2122	nod masnach
2139	gwybodaeth
2150	un rhan o saith
2151	un rhan o naw
2152	un rhan o ddeg
2153	traean
2154	dwy ran o dair
2155	un rhan o bump
2156	dwy ran o bump
2157	tair rhan o bump
2158	pedair rhan o bump
2159	un rhan o chwech
215A	pum rhan o chwech
215B	un rhan o wyth
215C	tair rhan o wyth
215D	pum rhan o wyth
215E	saith rhan o wyth
2190	saeth yn pwyntio i’r chwith
2191	saeth yn pwyntio i fyny
2192	saeth yn pwyntio i’r dde
2193	saeth yn pwyntio i lawr
2194	saeth chwith-dde
2195	saeth i fyny-lawr
2196	saeth i fyny-chwith
2197	saeth i fyny-dde
2198	saeth i lawr-dde
2199	saeth i lawr-chwith
21A9	saeth i’r dde yn troi i’r chwith
21AA	saeth i’r chwith yn troi i’r dde
2300	diamedr
231A	oriawr
231B	awrwydr
2328	bysellfwrdd
23CF	botwm allfwrw
23E9	botwm blaenyrru cyflym
23EA	botwm cildroi cyflym
23EB	botwm i fyny cyflym
23EC	botwm i lawr cyflym
23ED	botwm trac nesaf
23EE	botwm trac olaf
23EF	botwm chwarae neu saib
23F0	cloc larwm
23F1	stop wats
23F2	cloc ag amserydd
23F3	awrwydr gyda thywod yn llifo
23F8	botwm saib
23F9	botwm stop
23FA	botwm recordio
24C2	llythyren M mewn cylch
25AA	sgwâr bach du
25AB	sgwâr bach gwyn
25B6	botwm chwarae
25C0	botwm cildroi
25FB	sgwâr canolig gwyn
25FC	sgwâr canolig du
25FD	sgwâr canolig-bach gwyn
25FE	sgwâr canolig-bach du
2600	haul
2601	cwmwl
2602	ymbarél
2603	dyn eira
2604	comed
2605	seren
2606	seren wag
260E	ffôn
2611	blwch pleidlais gyda thic
2614	ymbarél gyda glaw
2615	diod boeth
2618	samrog
261D	mynegfys yn pwyntio i fyny
261D 1F3FB	mynegfys yn pwyntio i fyny arlliw croen golau
261D 1F3FC	mynegfys yn pwyntio i fyny arlliw croen canolig-golau
261D 1F3FD	mynegfys yn pwyntio i fyny arlliw croen canolog
261D 1F3FE	mynegfys yn pwyntio i fyny arlliw croen canolig-tywyll
261D 1F3FF	mynegfys yn pwyntio i fyny arlliw croen tywyll
2620	penglog ac esgyrn croes
2622	ymbelydrol
2623	bioberyg
2626	croes uniongred
262A	seren a chilgant
262E	symbol hedd
262F	yin yang
2638	olwyn dharma
2639	wyneb gwgus
263A	wyneb yn gwenu
2640	arwydd benyw
2642	arwydd gwrw
2648	yr Hwrdd
2649	y Tarw
264A	yr Efeilliaid
264B	y Cranc
264C	y Llew
264D	y Forwyn
264E	y Fantol
264F	y Sgorpion
2650	y Saethydd
2651	yr Afr
2652	y Dyfrwr
2653	y Pysgod
265F	gwerinwr gwyddbwyll
2660	siwt rhofiau
2663	siwt clybiau
2665	siwt calonnau
2666	siwt diemwntau
2668	tarddelli poeth
266D	meddalnod
266E	nodyn naturiol
266F	llonnod
267B	symbol ailgylchu
267E	anfeidredd
267F	cadair olwyn
2692	morthwyl a chaib
2693	angor
2694	cleddyfau wedi croesi
2695	arwydd meddygol
2696	clorian
2697	distyllydd
2699	gêr
269B	symbol o atom
269C	gellesgen
26A0	rhybudd
26A1	foltedd uchel
26A7	symbol trawsryweddol
26AA	cylch gwyn
26AB	cylch du
26B0	arch
26B1	wrn angladd
26BD	pêl droed
26BE	pêl fas
26C4	dyn eira heb eira
26C5	haul tu ôl i gwmwl
26C8	cwmwl â mellt a glaw
26CE	ophiuchus
26CF	caib
